"","brand","phone","Status","release_year","release_quarter","headphone_jacks","composer","MP3","monophonic","polyphonic","wav","vibration","acc","bluetooth","browser_type","GPS","Java","SMS","MMS","IM","Email","Push_Email","Thread","Radio","Resolution","Screen_size","talk_time","weight_in_g","Keyboard","Primary","Secondary"
"1","Acer","Iconia A1-830","Available",2014,"Q1","Yes","No","Yes","No","No","Yes","Yes","No","yes","HTML5","Yes","Yes","No","No","Yes","Yes","Yes","No","No",212,7.9,450,380,"None",5,2
"2","Acer","Iconia B1-720","Available",2014,"Q1","Yes","No","Yes","No","No","Yes","Yes","No","yes","HTML5","Yes","Yes","No","No","Yes","Yes","Yes","No","No",188,7,300,315,"None",0.3,0
"3","Acer","Iconia B1-721","Available",2014,"Q1","Yes","No","Yes","No","No","Yes","Yes","No","yes","HTML5","Yes","Yes","No","No","Yes","Yes","Yes","No","No",188,7,0,323,"None",0.3,0
"4","Acer","Iconia One 7 B1-730","Available",2014,"Q2","Yes","No","Yes","No","No","Yes","Yes","No","yes","HTML5","No","Yes","No","No","Yes","Yes","Yes","No","No",770,7,420,0,"None",5,0
"5","Acer","Iconia Tab 7 A1-713","Available",2014,"Q3","Yes","No","Yes","No","No","Yes","Yes","No","yes","HTML5","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No",188,7,360,298,"None",2,0
"6","Acer","Iconia Tab 7 A1-713HD","Available",2014,"Q3","Yes","No","Yes","No","No","Yes","Yes","No","yes","HTML5","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No",770,7,360,298,"None",5,0
"7","Acer","Iconia Tab 8 A1-840FHD","Available",2014,"Q3","Yes","No","Yes","No","No","Yes","Yes","No","yes","HTML5","Yes","Yes","No","No","Yes","Yes","Yes","No","No",360,8,450,360,"None",5,2
"8","Acer","Iconia Tab A1-810","Available",2013,"Q2","Yes","No","Yes","No","No","Yes","Yes","No","yes","HTML5","Yes","Yes","No","No","Yes","Yes","Yes","No","No",212,7.9,600,410,"None",5,0
"9","Acer","Iconia Tab A1-811","Available",2013,"Q2","Yes","No","Yes","No","No","Yes","Yes","No","yes","HTML5","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No",212,7.9,420,430,"None",5,0
"10","Acer","Iconia Tab A3","Available",2013,"Q4","Yes","No","Yes","No","No","Yes","Yes","No","yes","HTML5","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No",770,10.1,660,560,"None",5,0
"11","Acer","Iconia Tab A3-A20","Available",2014,"Q4","Yes","No","Yes","No","No","Yes","No","No","yes","HTML5","Yes","Yes","No","No","Yes","Yes","Yes","No","No",1184,10.1,540,508,"None",5,2
"12","Acer","Iconia Tab A3-A20FHD","Available",2014,"Q4","Yes","No","Yes","No","No","Yes","No","No","yes","HTML5","No","Yes","No","No","Yes","Yes","Yes","No","No",330,10.1,480,508,"None",5,2
"13","Acer","Iconia Tab B1-710","Available",2013,"Q4","Yes","No","Yes","No","No","Yes","Yes","No","yes","HTML5","Yes","Yes","No","No","Yes","Yes","Yes","No","No",188,7,210,339.9,"None",0,0
"14","Acer","Liquid C1","Available",2013,"Q1","Yes","No","Yes","No","No","Yes","Yes","No","yes","HTML","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes",3690,4.3,540,140,"None",8,0
"15","Acer","Liquid E1","Available",2013,"Q1","Yes","No","Yes","No","No","Yes","Yes","No","yes","HTML","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes",3690,4.5,480,130,"None",5,0
"16","Acer","Liquid E2","Available",2013,"Q2","Yes","No","Yes","No","No","Yes","Yes","No","yes","HTML","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes",3690,4.5,540,140,"None",8,2
"17","Acer","Liquid E3","Available",2014,"Q2","Yes","No","Yes","No","No","Yes","Yes","No","yes","HTML","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes",714,4.7,300,134,"None",13,2
"18","Acer","Liquid E3 Duo Plus","Available",2014,"Q3","Yes","No","Yes","No","No","Yes","Yes","No","yes","HTML","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes",714,4.7,300,0,"None",13,2
"19","Acer","Liquid E600","Available",2014,"Q3","Yes","No","Yes","No","No","Yes","Yes","No","yes","HTML","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes",3388,5,360,155,"None",8,2
"20","Acer","Liquid E700","Available",2014,"Q3","Yes","No","Yes","No","No","Yes","Yes","No","yes","HTML","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes",714,5,1440,155,"None",8,2
"21","Acer","Liquid Jade","Available",2014,"Q3","Yes","No","Yes","No","No","Yes","Yes","No","yes","HTML","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes",714,5,0,110,"None",13,2
"22","Acer","Liquid Jade S","Available",2014,"Q4","Yes","No","Yes","No","No","Yes","Yes","No","yes","HTML5","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes",714,5,0,116,"None",13,5
"23","Acer","Liquid Jade Z","Available",2015,"Q1","Yes","No","Yes","No","No","Yes","Yes","No","yes","HTML5","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes",714,5,0,110,"None",13,5
"24","Acer","Liquid M220","Available",2015,"Q2","Yes","No","Yes","No","No","Yes","Yes","No","yes","HTML","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes",3256,4,0,0,"None",5,2
"25","Acer","Liquid S1","Available",2013,"Q3","Yes","No","Yes","No","No","Yes","Yes","No","yes","HTML","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes",714,5.7,660,195,"None",8,2
"26","Acer","Liquid S2","Available",2013,"Q4","Yes","No","Yes","No","No","Yes","Yes","No","yes","HTML5","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes",180,6,780,229,"None",13,2
"27","Acer","Liquid X1","Available",2014,"Q3","Yes","No","Yes","No","No","Yes","Yes","No","yes","HTML5","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes",714,5.7,0,164,"None",13,2
"28","Acer","Liquid Z2","Available",2013,"Q1","Yes","No","Yes","No","No","Yes","Yes","No","yes","HTML","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes",2204,3.5,240,110,"None",3,0
"29","Acer","Liquid Z200","Available",2014,"Q3","Yes","No","Yes","No","No","Yes","Yes","No","yes","HTML","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes",3256,4,0,130,"None",2,0
"30","Acer","Liquid Z220","Available",2015,"Q1","Yes","No","Yes","No","No","Yes","Yes","No","yes","HTML","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes",3256,4,0,0,"None",5,2
"31","Acer","Liquid Z3","Available",2013,"Q3","Yes","No","Yes","No","No","Yes","Yes","No","yes","HTML","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes",2204,3.5,0,120,"None",3.15,0
"32","Acer","Liquid Z4","Available",2014,"Q2","Yes","No","Yes","No","No","Yes","Yes","No","yes","HTML","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes",3256,4,0,130,"None",5,0
"33","Acer","Liquid Z410","Available",2015,"Q1","Yes","No","Yes","No","No","Yes","Yes","No","yes","HTML","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes",3690,4.5,0,145,"None",5,2
"34","Acer","Liquid Z5","Available",2014,"Q1","Yes","No","Yes","No","No","Yes","Yes","No","yes","HTML","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes",3388,5,0,150,"None",5,0
"35","Acer","Liquid Z500","Available",2014,"Q3","Yes","No","Yes","No","No","Yes","Yes","No","yes","HTML","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes",714,5,0,150,"None",8,2
"36","Acer","Liquid Z520","Available",2015,"Q2","Yes","No","Yes","No","No","Yes","Yes","No","yes","HTML","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes",3256,5,0,0,"None",8,2
"37","Acer","Allegro","Available",2011,"Q4","Yes","No","Yes","No","No","Yes","Yes","No","yes","HTML5","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No",3256,3.6,360,126,"None",5,0
"38","Acer","beTouch E110","Available",2010,"Q1","Yes","No","Yes","No","No","Yes","Yes","No","yes","HTML","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes",1496,2.8,0,105,"None",3.15,0
"39","Acer","beTouch E120","Available",2010,"Q3","Yes","No","Yes","No","No","Yes","Yes","No","yes","HTML","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes",1496,2.8,360,105,"None",3.15,0
"40","Acer","beTouch E130","Available",2010,"Q3","Yes","No","Yes","No","No","Yes","Yes","No","yes","HTML","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes",1444,2.6,360,109,"QWERTY",3.15,0
"41","Acer","beTouch E140","Available",2010,"Q4","Yes","No","Yes","No","No","Yes","Yes","No","yes","HTML","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",1496,2.8,360,95,"None",3.15,0
"42","Acer","beTouch E200","Discontinued",NA,"","No","No","Yes","No","Yes","Yes","Yes","No","yes","HTML","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No",1700,3,300,146,"None",3.15,0
"43","Acer","beTouch E210","Available",2011,"Q2","Yes","No","Yes","No","No","Yes","Yes","No","yes","HTML","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes",1444,2.6,0,109,"QWERTY",3.15,0
"44","Acer","beTouch E400","Available",2010,"Q2","Yes","No","Yes","No","No","Yes","Yes","No","yes","HTML","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes",2204,3.2,300,125,"None",3.15,0
"45","Acer","beTouch T500","Available",2010,"Q4","No","No","Yes","No","No","Yes","Yes","No","yes","HTML","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No",2204,3.2,0,130,"None",3.15,0
"46","Acer","CloudMobile S500","Available",2012,"Q3","Yes","No","Yes","No","No","Yes","Yes","No","yes","HTML5","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes",714,4.3,0,122,"None",8,0
"47","Acer","Iconia Smart","Available",2011,"Q3","Yes","No","Yes","No","No","Yes","Yes","No","yes","HTML","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes",176,4.8,660,185,"None",8,2
"48","Acer","Iconia Tab A100","Available",2011,"Q2","Yes","No","Yes","No","No","Yes","Yes","No","yes","HTML","Yes","Yes","No","No","Yes","Yes","Yes","No","No",188,7,0,450,"None",5,2
"49","Acer","Iconia Tab A101","Discontinued",NA,"","Yes","No","Yes","No","No","Yes","Yes","No","yes","HTML","Yes","Yes","No","No","Yes","Yes","Yes","No","No",188,7,0,470,"None",5,2
"50","Acer","Iconia Tab A110","Available",2012,"Q4","Yes","No","Yes","No","No","Yes","Yes","No","yes","HTML5","Yes","Yes","No","No","Yes","Yes","Yes","No","No",188,7,450,390,"None",2,0
"51","Acer","Iconia Tab A200","Available",2012,"Q1","Yes","No","Yes","No","No","Yes","Yes","No","yes","HTML","Yes","Yes","No","No","Yes","Yes","Yes","No","No",770,10.1,480,700,"None",2,0
"52","Acer","Iconia Tab A210","Available",2012,"Q4","Yes","No","Yes","No","No","Yes","Yes","No","yes","HTML5","Yes","Yes","No","No","Yes","Yes","Yes","No","No",770,10.1,480,685,"None",2,0
"53","Acer","Iconia Tab A500","Discontinued",NA,"","Yes","No","Yes","No","No","Yes","Yes","No","yes","HTML","Yes","Yes","No","No","Yes","Yes","Yes","No","No",770,10.1,360,730,"None",5,2
"54","Acer","Iconia Tab A501","Discontinued",NA,"","Yes","No","Yes","No","No","Yes","Yes","No","yes","HTML","Yes","Yes","No","No","Yes","Yes","Yes","No","No",770,10.1,480,777,"None",5,2
